Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Presentation as a storytelling tool,2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,"Anthony DeBarros, Brad Racino, Kate Marymont, Mark Nichols","*Moderated by Kate Marymont, Gannett Company, Inc.
Design is key to attracting attention, keeping the public engaged and even getting people to do what you ask of them.We'll look at examples from top newsrooms and share tips and ideas on what you yourself can do to design and present brilliant stories.
",Salon 14-15,http://ire.org/events-and-training/event/975/1394/
,Media as data - illuminating the undiscovered country of television news (Sponsored by Knight Foundation),2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,Roger Macdonald,"Learn how the Internet Archive's television news research service repurposes closed captioning to facilitate searching, comparing, contrasting and quoting 500,000+ U.S. television news broadcasts aired in the last 4+ years. Find out how journalists and other researchers are being assisted in exploring this unique TV dataset. The collection has been recently used to analyze the media landscape in the battle for defining the Trayvon Martin story, map the world TV news covers and model responsible stewardship of content created by others.Targeting select 2014 Congressional election battleground districts, we are working to create a digital research archive of all election-related media, including political ads joined with FCC-required TV station reports on who paid how much for each. Learn about potentials for collaborating in creating and using this election media accountability, financing transparency and voter resource library.
",Nob Hill AB,http://ire.org/events-and-training/event/975/1415/
,Red light cameras,2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,"David Kidwell, Noah Pransky, Charles Territo","Just as fast as red light cameras popped up in hundreds of US cities, so did the scandals surrounding the profit-making technology. Hear from reporters who exposed government scandals - from short yellow lights to behind-the-scenes bribes - and learn about all the tools available for journalists. An industry insider joins the panel, promising a lively discussion on red light cameras and speed cameras.
",Salon 10-11,http://ire.org/events-and-training/event/975/1475/
,Campus coverage: College sports (Sponsored by Lumina Foundation),2014-06-26,2:30 p.m.,2014-06-26,3:30 p.m.,"Paula Lavigne, Jodi Upton, Brad Wolverton, Jill Riepenhoff","*Moderated by Jill Riepenhoff, The Columbus Dispatch
There's lots of fodder inside college athletic departments for meaty watchdog journalism. Learn how to dissect NCAA financial documents, how to find good investigative stories in the NCAA rule book and generally where to look to be a good muckraker inside a department that is only comfortable with journalists who cover the ball. This session will arm you with the tools you'll need for when a scandal breaks out on your campus.
",Salon 4-6,http://ire.org/events-and-training/event/975/1319/
,INN: Breakout sessions,2014-06-26,3:00 p.m.,2014-06-26,4:30 p.m.,TBA,"Attendees to elect which breakout to join ahead of time via Jotform 
*Membership for Nonprofit Newsrooms: Scott Lewis & Mary Walter Brown, Voice of San Diego
*Collaborative Opportunities in Data: Denise Malan, INN/IRE
*Impact Metrics & Measurement: Lauren Fuhrmann, Wisconsin Center for Investigative Journalism; Jason Alcorn, InvestigateWest
*Visually Telling True Stories: Opportunities in Film, TV, Cable & Broadband: Kevin Davis, INN; Meyer Schwarzstein & Patty Isthimto; Brainstorm Media
",Golden Gate B,http://ire.org/events-and-training/event/975/1501/
,App styling for Web and mobile (Hosted by Caspio),2014-06-26,3:40 p.m.,2014-06-26,4:40 p.m.,Edward Garcia,"Learn new tips and tricks for optimizing your Caspio applications for web, tablet and smartphones. Topics covered: Customizing your app's look and feel using the Style Wizard; Creating a smartphone version using the new Mobile Kit; Tips for achieving mobile-optimized and responsive design. 
No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. 
Register now to reserve your spot.
 
",Nob Hill D,http://ire.org/events-and-training/event/975/1481/
,CompStat USA,2014-06-26,3:40 p.m.,2014-06-26,4:40 p.m.,"Ben Poston, Steve Thompson","CompStat USA started in New York City in the mid-90's and the CompStat crime-fighting model has been replicated by hundreds of police departments across the country. Ben and Steve will expose the flaws of the data-driven system and how it can be vulnerable to crime manipulation. They'll also provide tips on how to investigate your local department's crime data.
",Salon 12-13,http://ire.org/events-and-training/event/975/1378/
spreadsheets,Open records: New challenges to access,2014-06-26,3:40 p.m.,2014-06-26,4:40 p.m.,"Jeff Glasser, Ryan Sabalow, Steve Zansberg, Joanna Lin","*Moderated by Stephen Zansberg, Colorado Freedom of Information Coalition
Across the nation, government agencies are conducting public business via digital and cloud-based platforms. This panel explores the challenges these technologies pose to obtaining access to public records, including costs associated with obtaining copies, accessing raw data in digitized form, obtaining information from third-party vendors, and the panoply of statutory exemptions that are frequently invoked to withhold information.  The panelists will offer practical tips on how to navigate around and overcome these roadblocks.
",Salon 10-11,http://ire.org/events-and-training/event/975/1358/
,The year in investigative reporting,2014-06-26,3:40 p.m.,2014-06-26,4:40 p.m.,"Jaimi Dowdell, Megan Luther","Pick up some story ideas and be inspired with the highlights of some of the year's best investigations.
",Club Room,http://ire.org/events-and-training/event/975/1344/
,Immigration and border issues,2014-06-26,3:40 p.m.,2014-06-26,4:40 p.m.,"Ana Arana, Bob Ortega, Cindy Carcamo, Alfredo Corchado","**Moderated by Alfredo Corchado, The Dallas Morning News
Join acclaimed journalist Bob Ortega, Cindy Carcamo and Ana Arana for a provocative discussion about covering thorny immigration and border issues. Topics will include how to collect data from stonewalling officials, develop sources in no-man's land and how to face the challenges of covering gray areas and nuances at a time of hyper-sensitivities and political piñatas. 
",Salon 7,http://ire.org/events-and-training/event/975/1484/
