Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,"Find environmental violators in your community, before the regulations disappear",2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3233/
,DocumentCloud tools and tricks (Sponsored by Knight Foundation),2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3319/
databases,SQL 2: Grouping and summing,2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3348/
,Show & Tell *Friday #2,2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3383/
,Promoting the investigation,2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3232/
,Hurdles to higher education (Sponsored by Lumina),2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3234/
,Covering Muslim America (Sponsored by Asian American Journalists Association),2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3235/
,Digging with documents,2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3236/
,How to collaborate and not hate each other,2017-06-23,10:15 a.m.,2017-06-23,11:15 a.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3237/
,Watchdogging the military,2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3243/
,Year in CAR,2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3239/
databases,SQL 3: Joining tables,2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3349/
,Show & Tell *Friday #3,2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3384/
,Covering cold cases,2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3240/
,Broadcast: Interviews that stand out  (Sponsored by National Association of Broadcasters),2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3304/
,Speed critiques for yungins' (Sponsored by Google),2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3241/
,Immigration (Sponsored by UNITY),2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3242/
,Management: Editing investigative projects that cross mediums,2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3238/
,Perfecting the 15-minute background check - and why you should do it every time you quote someone (Sponsored by Knight Foundation),2017-06-23,11:30 a.m.,2017-06-23,12:30 p.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3320/
,Media lawyers brown bag,2017-06-23,12:45 p.m.,2017-06-23,2:00 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3249/
,Covering rising violent crime in urban America,2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3247/
,Under pressure: Real life in real time with breaking news (Sponsored by Knight Foundation),2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3321/
,Broadcast: Deep dive II   (Sponsored by National Association of Broadcasters),2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3305/
,"Murder, you Wrote",2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3350/
,Building custom search tools for investigative projects (Hosted by Caspio),2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3340/
,New tools for price-tagging economic development incentives,2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3244/
,"Finding, nurturing and protecting sources",2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3245/
,Turning your investigation into a podcast,2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3246/
,Watchdogging weed,2017-06-23,2:30 p.m.,2017-06-23,3:30 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3248/
,Investigating special education,2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3251/
python,Python 1,2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3341/
,Broadcast: Breaking the mold  (Sponsored by National Association of Broadcasters),2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3306/
,Funding for freelance investigations: Whom to ask and how to ask (Sponsored by The Fund for Investigative Journalism),2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3250/
,Backgrounding businesses (Sponsored by Bloomberg),2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3255/
,Digital options with limited resources (Sponsored by Knight Foundation),2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3322/
,Show & Tell *Friday #4,2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3385/
,The art of investigative storytelling,2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3254/
spreadsheets,Excel 1: Getting started with spreadsheets (repeat),2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3351/
,"""Ongoing investigation"": Tricks to getting around tough PIOs",2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3253/
,Handling massive files leaked data and documents,2017-06-23,3:45 p.m.,2017-06-23,4:45 p.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3252/
python,Python 2,2017-06-23,5:00 p.m.,2017-06-23,6:15 p.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3342/
spreadsheets,Excel 2: Functions and pivot tables (repeat),2017-06-23,5:00 p.m.,2017-06-23,6:15 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3352/
