Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
tableau,Intro to data stories in Tableau Public (Hosted by Tableau),2015-06-04,1:30 p.m.,2015-06-04,3:00:00 p.m.,False,"Got a dataset and an impending deadline to write a story on it? Find the scoop and convey it with beautiful, interactive visualizations in a serial narrative using Tableau Public. It&rsquo;s a fast, easy to use, and free tool for journalists. Visualizations will publish using any CMS and no programming is required.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2078/",Room 404,False
,From facts to data: Making your stories airtight,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Alleen Brown, David Donald, Shawn McIntosh - **Moderated by Shawn McIntosh, The Atlanta Journal-Constitution | URL: http://ire.org/events-and-training/event/1574/1929/",Franklin 3&amp;4,False
,Pop Up Archive: Search your sound (Sponsored by Knight Foundation),2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Bailey Smith, Anne Wootton | URL: http://ire.org/events-and-training/event/1574/1914/",Franklin 7,False
,Coding for journalists (pre-registration required),2015-06-04,2:30 p.m.,2015-06-04,5:50 p.m.,False,"Speakers: Alex Richards - This half-day session will cover the ways basic programming in Python can collect data for stories from the web, assist with repetitive tasks and speed your reporting. The workshop will cover the fundamental coding concepts and libraries you need to know about, as well as how to apply them to your own stories.&nbsp; | URL: http://ire.org/events-and-training/event/1574/1890/",Room 401,False
,Management track: Managing the multiplatform investigation,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Lawan Hamilton, Lorie Hearn, Robert Salladay, Peter Bale - **Moderated by Peter Bale, The Center for Public Integrity | URL: http://ire.org/events-and-training/event/1574/1911/",Franklin 5&amp;6,False
,Engaging your audience,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Jim Brady, Jodi Gersh, Terry Parris Jr., Jennifer Preston - **Moderated by Jennifer Preston, Knight Foundation | URL: http://ire.org/events-and-training/event/1574/1913/",Salon L,False
,INN: Legal really matters - Expert advice and listening to what members need,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Jeff Hermes, Katie Townsend, Denise Malan - **Moderated by&nbsp;Denise Malan, INN/IRE | URL: http://ire.org/events-and-training/event/1574/2119/",Room 414-415,False
,Covering police shootings in ethnic communities (Sponsored by New America Media),2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Sabrina Vourvoulias, Anthony Advincula - **Moderated by Anthony Advincula, New America Media | URL: http://ire.org/events-and-training/event/1574/2110/",Salon K,False
,Broadcast deep dives 1,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Brian Collister, Harry Hairston III, Russ Ptacek - From undercover and interview techniques to research and records requests, watch some of the best investigative stories of the year and hear from the journalists behind the work. | URL: http://ire.org/events-and-training/event/1574/2059/",Franklin 8,False
,Privatizing government services (Sponsored by Bloomberg),2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: Blake Ellis, Melanie Hicken, Carol Marbin Miller, Pat Beall - **Moderated by Pat Beall, The Palm Beach Post | URL: http://ire.org/events-and-training/event/1574/2082/",Franklin 9&amp;10,False
,Red flags: Finding fraud in government programs,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Speakers: John Sopko, - Learn about how to track down instances of fraud from an expert -- the special inspector general for Afghanistan reconstruction, John Sopko. The former mob prosecutor will talk about how to find examples of waste and mismanagement, how officials like him can work with journalists and the vital role investigative work plays when billions of government dollars are at stake. | URL: http://ire.org/events-and-training/event/1574/1910/",Franklin 1&amp;2,False
