Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,The election data you should be paying attention to,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,TBA,,River Terrace 1,http://ire.org/events-and-training/event/2702/2903/
,Conversations 3 (Sponsored by (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2976/
,Stories waiting to be told with housing data,2017-03-02,11:30 a.m.,2017-03-02,12:30 p.m.,"Tim Henderson, Skylar Olsen",,River Terrace 3,http://ire.org/events-and-training/event/2702/2902/
,Lunch on your own (Thursday),2017-03-02,12:30 p.m.,2017-03-02,2:15 p.m.,TBA,,See printed schedule for room information,http://ire.org/events-and-training/event/2702/2996/
,Conversations 4 (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-02,12:45 p.m.,2017-03-02,1:45 p.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2977/
tableau,Finding and telling data stories with Tableau Public (Hosted by Tableau),2017-03-02,1:30 p.m.,2017-03-02,3:00 p.m.,Ben Jones,"Got a dataset and an impending deadline to write a story on it? Find the scoop and convey it with beautiful, interactive visualizations in a serial narrative using Tableau Public. It's a fast, easy to use, and free tool for journalists. Visualizations will publish using any CMS and no programming is required. 
We'll teach you how to:
*Connect to Excel files and other file types
*Rapidly explore and analyze datasets with ease
*Make eye-catching visualizations to share your findings
*Add interactivity and arrange them in a serial narrative to engage and sustain your audience's attention
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to attend. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class.
",City Terrace 6,http://ire.org/events-and-training/event/2702/3017/
,Extracting data from PDFs,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,TBA,,City Terrace 9,http://ire.org/events-and-training/event/2702/2935/
spreadsheets,Getting started with Excel,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,TBA,,City Terrace 11,http://ire.org/events-and-training/event/2702/2937/
,NPR responsive graphics tool,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,TBA,,River Terrace 2,http://ire.org/events-and-training/event/2702/3022/
python,Intro to Python 1,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2936/
,Meet the Computational Journalism Workbench,2017-03-02,2:15 p.m.,2017-03-02,3:15 p.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/3009/
,The agile data analyst: Applying practices from agile software methodologies to data reporting,2017-03-02,3:30 p.m.,2017-03-02,4:30 p.m.,TBA,,Conference Center A,http://ire.org/events-and-training/event/2702/3011/
spreadsheets,Using formulas in Excel,2017-03-02,3:30 p.m.,2017-03-02,4:30 p.m.,TBA,,City Terrace 11,http://ire.org/events-and-training/event/2702/2939/
python,Intro to Python 2,2017-03-02,3:30 p.m.,2017-03-02,4:30 p.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2938/
tableau,Designing Tableau Visualizations for mobile (Hosted by Tableau),2017-03-02,3:30 p.m.,2017-03-02,5:00 p.m.,Jenny Richards,"Are mobile readers of your news site becoming more and more common? If your news organization is like others we've worked with, the percent of readers using phones and tablets to read your content is well over half of the overall number, and growing fast. Creating data visualizations for these small form-factors is very challenging. Learn how to use Tableau to create sheets and dashboards that work great, even on phones and tablets. 
*Design considerations, including layout and formatting
*Dashboard sizing for a range of screen widths
*Utilizing Device Specific Designer for multi-screen support
*Interactivity – filtering and tooltips
*Options to embed visualizations to respond to reader device
Tableau Public is a free tool for journalists. Some experience with Tableau Public is recommended. Taking one of the earlier Tableau sessions should suffice. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class.
",City Terrace 6,http://ire.org/events-and-training/event/2702/3018/
,Visualizing data with SandDance,2017-03-02,3:30 p.m.,2017-03-02,4:30 p.m.,TBA,,River Terrace 2,http://ire.org/events-and-training/event/2702/2905/
spreadsheets,PivotTables in Excel,2017-03-02,4:45 p.m.,2017-03-02,5:45 p.m.,Kimbriell Kelly,,City Terrace 11,http://ire.org/events-and-training/event/2702/2941/
,How to make data approachable for younger audiences,2017-03-02,4:45 p.m.,2017-03-02,5:45 p.m.,"Rachel Schallom, Ani Ucar",,Conference Center A,http://ire.org/events-and-training/event/2702/2906/
python,Intro to Python 3,2017-03-02,4:45 p.m.,2017-03-02,5:45 p.m.,Alex Richards,,City Terrace 10,http://ire.org/events-and-training/event/2702/2940/
,Investigating racial inequity (Sponsored by Ida B. Wells Society),2017-03-02,4:45 p.m.,2017-03-02,5:45 p.m.,TBA,,Conference Center B,http://ire.org/events-and-training/event/2702/3020/
,Welcome reception,2017-03-02,6:00 p.m.,2017-03-02,7:00 p.m.,TBA,"Kick off the conference with a welcome reception on Thursday night beginning at 6 p.m. Meet up with friends you have not seen since last year and welcome new attendees. Each attendee will receive one drink ticket for beer, wine, soda or bottled water.
",River Terrace 1,http://ire.org/events-and-training/event/2702/2995/
,Conference registration (Friday),2017-03-03,8:00 a.m.,2017-03-03,5:00 p.m.,TBA,"Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront. 
",3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/3001/
,Conference sales (Friday),2017-03-03,8:00 a.m.,2017-03-03,5:00 p.m.,TBA,,3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/3005/
python,First Python Notebook: Rapid data analysis in the newsroom (beginner/intermediate) *pre-registered attendees only,2017-03-03,9:00 a.m.,2017-03-03,4:30 p.m.,"James Gordon, Cheryl Phillips, Ben Welsh","â¨Ben Welsh, James Gordon and Cheryl Phillips teach you how to conduct and publish a data analysis with the Python programming language, its pandas toolkit and a Jupyter Notebook.â¨â¨
The 6-hour, hands-on tutorial will guide you through an investigation of money in politics using data from the California Civic Data Coalition. You will learn just enough Python to do damage with the powerful pandas data analysis library, the most popular open-source library for working with large data files. You will also learn how to record, remix and republish your analysis using the Jupyter Notebook, a browser-based tool for writing code that is emerging as the standard for sharing reproducible research in the sciences. And most importantly, you will see how tools can increase the speed and veracity of your journalism.â¨â¨
Preregistration is required and seating is limited. Laptops will be provided for the training.â¨â¨
Workshop prerequisites: If you've tried Python once or twice, have good attitude and know how to take a few code crashes in stride, you are qualified for this class.
NOTE: Registration is required for this session. Click here to sign up.
",City Terrace 6,http://ire.org/events-and-training/event/2702/2879/
,The lone trainer: Ideas for boosting data literacy in your newsroom,2017-03-03,9:00 a.m.,2017-03-03,10:00 a.m.,TBA,,Conference Center B,http://ire.org/events-and-training/event/2702/2907/
"databases, spreadsheets","When Excel is not enough, you SQL",2017-03-03,9:00 a.m.,2017-03-03,12:30 p.m.,Crina Boros,,City Terrace 11,http://ire.org/events-and-training/event/2702/2991/
,Intro to R: Stepping up your analysis game (beginner),2017-03-03,9:00 a.m.,2017-03-03,10:00 a.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2943/
,How to find stories in data: Data exploration and storytelling,2017-03-03,9:00 a.m.,2017-03-03,10:00 a.m.,Heather Krause,,City Terrace 9,http://ire.org/events-and-training/event/2702/2942/
spreadsheets,Excel Magic (beginner/intermediate) *pre-registered attendees only,2017-03-03,9:00 a.m.,2017-03-03,12:30 p.m.,MaryJo Webster,"If you've found yourself struggling in a spreadsheet, thinking that whatever you were trying to achieve seemed harder than it should've been, then this is the class for you. You'll learn how to do things with spreadsheets that you never thought possible, such as joining tables and re-arranging badly structured data. You'll learn about the never-ending and amazing power of logical functions, as well as a whole bunch of other functions you probably didn't know about (but should). You'll also learn some handy tools for dealing with dates, times and strings of text that aren't quite the way you'd like them. Plus we'll throw in some other tricks that just make working in spreadsheets a bit easier and more efficient. 
Preregistration is required and seating is limited. Laptops will be provided for the training. 
Workshop prerequisites: You should have prior experience using Excel or Google Sheets, and be comfortable with introductory-level spreadsheet skills, such as sorting, filtering, SUM and AVERAGE functions, calculations such as percentage change or percent of total, and how to use Pivot Tables.
NOTE: Registration is required for this session. Click here to sign up.
",City Terrace 5,http://ire.org/events-and-training/event/2702/2881/
,Conversations 5 (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-03,9:00 a.m.,2017-03-03,10:00 a.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2978/
,Automating web searches,2017-03-03,9:30 a.m.,2017-03-03,10:00 a.m.,TBA,,River Terrace 2,http://ire.org/events-and-training/event/2702/2908/
,Gifs for data viz,2017-03-03,10:15 a.m.,2017-03-03,11:15 a.m.,Lena Groeger,,River Terrace 2,http://ire.org/events-and-training/event/2702/2910/
,Common foundations for newsroom tools,2017-03-03,10:15 a.m.,2017-03-03,11:15 a.m.,TBA,,River Terrace 1,http://ire.org/events-and-training/event/2702/2909/
,Conversations 6 (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-03,10:15 a.m.,2017-03-03,11:15 a.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2979/
,Designing database applications for community engagement (Hosted by Caspio),2017-03-03,10:15 a.m.,2017-03-03,11:15 a.m.,Jennifer Christos,"Investigative journalists have great ideas, and many are seeking fast, innovative solutions that allow them to publish interactive data applications by deadline. Caspio has the tools to allow you to do this, without the help of a staff developer.
With a little bit of training, you can learn how to develop your own data-driven apps, interactives, consumer investigative sites, and community engagement tools using Caspio.
This demo will showcase real-world examples and techniques for building revenue-generating database applications. Creative, community engagement has never been easier.
Note: Pre-registration is not required.
",City Terrace 4,http://ire.org/events-and-training/event/2702/2944/
,Data analysis in R (beginner),2017-03-03,10:15 a.m.,2017-03-03,11:15 a.m.,TBA,,City Terrace 10,http://ire.org/events-and-training/event/2702/2946/
,Show me the money: Finding compensation gold in proxy statements,2017-03-03,10:15 a.m.,2017-03-03,11:15 a.m.,TBA,,City Terrace 8,http://ire.org/events-and-training/event/2702/2945/
,Conversations 7 (Sponsored by SRCCON - Knight Mozilla OpenNews),2017-03-03,11:30 a.m.,2017-03-03,12:30 p.m.,TBA,,City Terrace 12,http://ire.org/events-and-training/event/2702/2980/
python,GIS with Python: 6 libraries to know,2017-03-03,11:30 a.m.,2017-03-03,12:30 p.m.,TBA,,River Terrace 2,http://ire.org/events-and-training/event/2702/2912/
